case_id,source_layer,source_layer_name,source_id,parent_type,type_name,street_address,city_name,created_at,last_action_at,closed_at,status_desc,comments,department,division,dept_div,dept_div_id,category_zh,status_zh,keywords_zh,retrieval_text_zh,raw_text_en,dataset_split
br311-0-1003597,0,Open or In-Progress Status,1003597,BLIGHTED PROPERTIES,PROPERTY NEEDS TO BE CONDEMNED OR TORN DOWN,2530 LAUREL ST,BATON ROUGE,2024-01-02T19:36:00+00:00,2026-08-07T15:52:00+00:00,,IN PROGRESS,VACANT 2 -STORY CINDERBLOCK (PURPLE) HOME NEEDS TO BE CONDEMNED,DEVELOPMENT,BLIGHT ENFORCEMENT,DOD - BLIGHT ENFORCEMENT,59,环境卫生与失管物业,处理中,失管物业、环境卫生、废弃房屋,事项类别：环境卫生与失管物业；关键词：失管物业、环境卫生、废弃房屋；事项状态：处理中,BLIGHTED PROPERTIES PROPERTY NEEDS TO BE CONDEMNED OR TORN DOWN VACANT 2 -STORY CINDERBLOCK (PURPLE) HOME NEEDS TO BE CONDEMNED DEVELOPMENT BLIGHT ENFORCEMENT,retrieval
br311-0-1004810,0,Open or In-Progress Status,1004810,"DRAINAGE, EROSION, FLOODING OR HOLES",NON-ROADSIDE VEGETATION IN A DITCH,5256 WILMOT ST,BATON ROUGE,2024-01-08T18:35:00+00:00,2024-01-22T17:18:00+00:00,,IN PROGRESS,DEAD TREE ON THE SIDE OF THE PROPERTY BY THE DITCH NEEDS TO BE CUT DOWN,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES NON-ROADSIDE VEGETATION IN A DITCH DEAD TREE ON THE SIDE OF THE PROPERTY BY THE DITCH NEEDS TO BE CUT DOWN MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1005519,0,Open or In-Progress Status,1005519,"DRAINAGE, EROSION, FLOODING OR HOLES",PIPE REPAIRS NEEDED,11814 JOLSON DR,BATON ROUGE,2024-01-10T18:36:00+00:00,2026-08-20T19:08:00+00:00,,IN PROGRESS,"REQUEST REPAIR OF LARGE HOLE IN THE SIDEWALK IN FRONT OF 11814 JOLSON DR   AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP. ……………AT THE ADDRESS OF 11814 JOLSON DR….THE SIDEWALK HAS A BASE FAILURE, WHEREAS ; THE SIDEWALK IS BUCKLE, AND HAS FAIL IN , DUE DRAINAGE PROBLEMS…..SEE PHOTOS ATTACHED",MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES PIPE REPAIRS NEEDED REQUEST REPAIR OF LARGE HOLE IN THE SIDEWALK IN FRONT OF 11814 JOLSON DR   AFTER JOB IS COMPLETE PLEASE CHANGE TYPE TO  BARRICADE PICK UP ........SO SOMEONE FROM OUR DIVISION CAN PROPERLY PICK UP. ……………AT THE ADDRESS OF 11814 JOLSON DR….THE SIDEWALK HAS A BASE FAILURE, WHEREAS ; THE SIDEWALK IS BUCKLE, AND HAS FAIL IN , DUE DRAINAGE PROBLEMS…..SEE PHOTOS ATTACHED MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1008974,0,Open or In-Progress Status,1008974,"DRAINAGE, EROSION, FLOODING OR HOLES",REQUEST REMOVAL OF DEBRIS IN A DITCH/WATERWAY,23335 BURRELL RD,ZACHARY,2024-01-26T16:57:00+00:00,2025-03-25T18:17:00+00:00,,IN PROGRESS,"2 PROPERTIES UP FROM MINE, SOMEONE BULLDOZED SOME TREES ALONG THE PROPERTY LINE BUT THEY FILLED IN THE DRAINAGE DITCH WHICH IS CAUSING ISSUES WITH THE CREEK THAT DRAINS INTO IT TO NOT DRAIN",MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES REQUEST REMOVAL OF DEBRIS IN A DITCH/WATERWAY 2 PROPERTIES UP FROM MINE, SOMEONE BULLDOZED SOME TREES ALONG THE PROPERTY LINE BUT THEY FILLED IN THE DRAINAGE DITCH WHICH IS CAUSING ISSUES WITH THE CREEK THAT DRAINS INTO IT TO NOT DRAIN MAINTENANCE DRAINAGE MAINTENANCE",validation
br311-0-1010575,0,Open or In-Progress Status,1010575,"DRAINAGE, EROSION, FLOODING OR HOLES",REQUEST REMOVAL OF DEBRIS IN A DITCH/WATERWAY,16511 CHARLTON RD,BAKER,2024-02-01T19:43:00+00:00,2024-02-02T19:44:00+00:00,,IN PROGRESS,CALLER REQUESTING REMOVAL OF TRASH AND DEBRIS IN THE DITCH IN FRONT OF THE ABOVE ADDRESS AND ALONG THE STREET.,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES REQUEST REMOVAL OF DEBRIS IN A DITCH/WATERWAY CALLER REQUESTING REMOVAL OF TRASH AND DEBRIS IN THE DITCH IN FRONT OF THE ABOVE ADDRESS AND ALONG THE STREET. MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1011276,0,Open or In-Progress Status,1011276,ROAD MAINTENANCE ISSUES,CONCRETE ROAD REPAIRS NEEDED,737 VAN BUREN ST,BATON ROUGE,2024-02-05T18:08:00+00:00,2025-07-14T15:16:00+00:00,,IN PROGRESS,"MONDAY FEBRUARY 5, 2024; DIRECTLY IN FRONT OF 737 VAN BUREN STREET IS  BROKEN/UNEVEN/BROKEN  CONCRETE THAT HAS NOT BEEN COMPLETELY REPAIRED. IT IS CAUSING THE STREET TO SINK/UNEVEN & DAMAGE CARS. THE CITY/B.R. WATER COMPANY STARTED & DID NOT COMPLETE/FINISH THE JOB. THIS HAS BEEN GOING ON SINCE LAST NOVEMBER 2023 THIS IS TOTALY UNACCEPTABLE. WE ARE TAXPAYERS & THIS NEEDS TO BE ADDRESSED & FIXED CORRECTLY.",MAINTENANCE,STREET MAINTENANCE,DOM - STREET MAINTENANCE,64,道路维护,处理中,道路、路面、坑洞、道路维护,事项类别：道路维护；关键词：道路、路面、坑洞、道路维护；事项状态：处理中,"ROAD MAINTENANCE ISSUES CONCRETE ROAD REPAIRS NEEDED MONDAY FEBRUARY 5, 2024; DIRECTLY IN FRONT OF 737 VAN BUREN STREET IS  BROKEN/UNEVEN/BROKEN  CONCRETE THAT HAS NOT BEEN COMPLETELY REPAIRED. IT IS CAUSING THE STREET TO SINK/UNEVEN & DAMAGE CARS. THE CITY/B.R. WATER COMPANY STARTED & DID NOT COMPLETE/FINISH THE JOB. THIS HAS BEEN GOING ON SINCE LAST NOVEMBER 2023 THIS IS TOTALY UNACCEPTABLE. WE ARE TAXPAYERS & THIS NEEDS TO BE ADDRESSED & FIXED CORRECTLY. MAINTENANCE STREET MAINTENANCE",retrieval
br311-0-1012116,0,Open or In-Progress Status,1012116,"DRAINAGE, EROSION, FLOODING OR HOLES",PIPE REPAIRS NEEDED,223 FERNWOOD DR,BATON ROUGE,2024-02-08T15:12:00+00:00,2026-08-20T19:08:00+00:00,,IN PROGRESS,SINKHOLE NEXT TO M/H IN THE REAR OF THE PROPERTY.,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES PIPE REPAIRS NEEDED SINKHOLE NEXT TO M/H IN THE REAR OF THE PROPERTY. MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1012778,0,Open or In-Progress Status,1012778,"DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE,9740 AVENUE E,BATON ROUGE,2024-02-12T16:57:00+00:00,2024-04-15T18:35:00+00:00,,IN PROGRESS,CALLER REQUESTING DITCH BE CLEANED OUT IN FRONT OF THE ABOVE LOCATION DUE TO STANDING WATER IN THE YARD.,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES ROADSIDE DRAINAGE ISSUE CALLER REQUESTING DITCH BE CLEANED OUT IN FRONT OF THE ABOVE LOCATION DUE TO STANDING WATER IN THE YARD. MAINTENANCE DRAINAGE MAINTENANCE",retrieval
br311-0-1017908,0,Open or In-Progress Status,1017908,"DRAINAGE, EROSION, FLOODING OR HOLES",ROADSIDE DRAINAGE ISSUE,3475 GREENWAY DR,BATON ROUGE,2024-03-05T16:34:00+00:00,2024-03-06T19:40:00+00:00,,IN PROGRESS,CALLER  REQUESTING FOR A COVERT BE PLACED IN FRONT OF THE HOME IN THE DITCH AREA.,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES ROADSIDE DRAINAGE ISSUE CALLER  REQUESTING FOR A COVERT BE PLACED IN FRONT OF THE HOME IN THE DITCH AREA. MAINTENANCE DRAINAGE MAINTENANCE",validation
br311-0-1023455,0,Open or In-Progress Status,1023455,"DRAINAGE, EROSION, FLOODING OR HOLES",NON-ROADSIDE EROSION ISSUE,CHUCK YEAGER AVE,BATON ROUGE,2024-03-25T16:08:00+00:00,2026-03-23T19:47:00+00:00,,IN PROGRESS,CALLER STATED THAT NON ROADSIDE EROSION AT THIS LOCATION.,MAINTENANCE,DRAINAGE MAINTENANCE,DOM - DRAINAGE MAINTENANCE,62,排水、积水与洪涝,处理中,排水、积水、内涝、洪涝、排水沟,事项类别：排水、积水与洪涝；关键词：排水、积水、内涝、洪涝、排水沟；事项状态：处理中,"DRAINAGE, EROSION, FLOODING OR HOLES NON-ROADSIDE EROSION ISSUE CALLER STATED THAT NON ROADSIDE EROSION AT THIS LOCATION. MAINTENANCE DRAINAGE MAINTENANCE",retrieval
